id;тип номера;цена за ночь;дата заезда;дата выезда;количество гостей;общая стоимость;примечания
1;Стандартный;100;2023-10-26;2023-10-29;2;300;Без особых пожеланий;
2;Люкс;150;2023-11-02;2023-11-05;4;600;Ранний заезд;
3;Полулюкс;120;2023-11-09;2023-11-12;3;360;Поздний выезд;
4;Апартаменты;200;2023-11-16;2023-11-19;2;800;Вид на море;
5;Стандартный;100;2023-11-23;2023-11-26;1;200;Тихий номер;
6;Люкс;150;2023-12-01;2023-12-04;3;450;Дополнительная кровать;
7;Полулюкс;120;2023-12-08;2023-12-11;2;240;Романтический пакет;
8;Апартаменты;200;2023-12-15;2023-12-18;4;800;Скидка для постоянных клиентов;
9;Стандартный;100;2024-01-05;2024-01-08;2;300;Без особых пожеланий;
10;Люкс;150;2024-01-12;2024-01-15;1;150;Ранний заезд;
11;Полулюкс;120;2024-01-19;2024-01-22;3;360;Поздний выезд;
12;Апартаменты;200;2024-01-26;2024-01-29;4;800;Вид на море;
13;Стандартный;100;2024-02-02;2024-02-05;2;300;Без особых пожеланий;
14;Люкс;150;2024-02-09;2024-02-12;3;450;Дополнительная кровать;
15;Полулюкс;120;2024-02-16;2024-02-19;1;120;Тихий номер;
